Date,Resting heart rate,Breaths per minute (during sleep),HRV-status,DeepSleep,Restless moments,Duration (mins),Steps,Calories,Weight (in kilograms),Max HR,Run (kms),Ride (kms),Minutes intense exercise,AvgTemp_C,MinTemp_C,MaxTemp_C,Humidity_Max,Humidity_Avg,Humidity_Min,WindSpeed_Max,WindSpeed_Avg,WindSpeed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_mm,DayOfWeek,IsWeekend,HR_Recovery_Score,Temp_Comfort_Index,Humidity_Comfort_Index,Weather_Stability,HRV_HR_Ratio,Breathing_Sleep_Quality,BedTimeSin,BedTimeCos,WakeTimeSin,WakeTimeCos,SunsetSin,SunsetCos,SunriseSin,SunriseCos,MinutesAfterSunset,BedtimeCategory_Early,BedtimeCategory_Late,BedtimeCategory_On Time,Heat_Stress_Effort,Sleep_Fragmentation
2025-01-01,58,12,29,48,46,466,9295,2627,76.3,119,0.0,0.0,30,8.0,6.0,9.0,93.0,85.0,76.0,61.0,42.3,17.0,1015.5,1008.2,1002.5,21.0,2,0,42,38.33333333333334,30.666666666666657,84.72474768348053,0.5,4.508333333333334,0.7040147244559684,0.7101853756232854,0.24615329302899322,-0.9692309097067543,-0.9351352096860117,-0.3542910379977157,0.7372773368101241,-0.6755902076156602,622,False,True,False,270.0,0.09871244635193133
2025-01-02,56,12,30,86,46,518,11470,3070,76.3,168,1.01,0.0,19,3.6,1.0,6.0,93.0,84.3,76.0,22.0,11.5,2.0,1017.5,1013.3,1007.5,3.2,3,0,44,17.666666666666657,31.13333333333333,74.99333422198526,0.5357142857142857,4.866666666666667,-0.438371146789077,0.8987940462991671,0.964787323828813,-0.2630312144579746,-0.938191335922484,-0.34611705707749335,0.7372773368101241,-0.6755902076156602,337,False,False,True,114.0,0.0888030888030888
2025-01-03,57,12,31,20,46,471,12183,2905,76.3,123,0.0,0.0,15,2.9,1.0,5.0,93.0,83.1,61.0,35.0,17.7,2.0,1020.5,1018.0,1016.5,2.1,4,0,43,14.833333333333345,41.93333333333334,79.99166840205477,0.543859649122807,4.358333333333333,-0.3090169943749477,0.9510565162951535,0.964787323828813,-0.2630312144579746,-0.9396926207859082,-0.3420201433256694,0.7372773368101241,-0.6755902076156602,368,False,False,True,75.0,0.09766454352441614
2025-01-04,58,12,32,63,46,460,13870,2661,76.3,130,0.0,0.0,8,2.3,0.0,4.0,100.0,92.9,87.0,24.0,13.3,6.0,1021.5,1017.1,1009.5,1.8,5,1,42,10.5,13.400000000000006,79.92514010011527,0.5517241379310345,4.85,-0.2965415749755711,0.9550199444571866,0.9762960071199334,-0.2164396139381028,-0.9411760152563706,-0.337916718003327,0.7402181274868322,-0.6723668074346679,370,False,False,True,32.0,0.1
2025-01-05,55,12,34,35,46,489,7652,2834,76.6,136,0.0,9.1,64,4.8,0.0,12.0,100.0,95.2,81.0,41.0,25.4,11.0,1009.5,994.5,986.5,21.2,6,1,45,28.0,15.866666666666674,39.601324517834,0.6181818181818182,4.8999999999999995,-0.2965415749755711,0.9550199444571866,0.958819734868193,-0.28401534470392265,-0.9426414910921783,-0.33380685923377124,0.7402181274868322,-0.6723668074346679,369,False,False,True,768.0,0.09406952965235174
2025-01-06,54,13,35,91,46,490,7936,2627,77.1,119,0.0,0.0,0,9.1,5.0,12.0,94.0,82.4,70.0,67.0,38.6,28.0,991.5,983.2,974.5,2.0,0,0,46,43.50000000000001,35.73333333333332,64.82898920986204,0.6481481481481481,4.730769230769231,-0.3338068592337713,0.9426414910921783,0.964787323828813,-0.2630312144579746,-0.9455185755993168,-0.32556815445715664,0.7402181274868322,-0.6723668074346679,358,False,False,True,0.0,0.09387755102040816
2025-01-07,57,12,36,89,46,479,7525,3411,76.4,160,0.0,13.63,103,4.2,3.0,6.0,93.0,85.2,65.0,37.0,25.4,17.0,999.5,996.0,991.5,2.3,1,0,43,22.0,37.866666666666674,84.9003311294585,0.631578947368421,4.816666666666666,-0.3461170570774934,0.9381913359224839,0.963630453208623,-0.26723837607825685,-0.9469301294951056,-0.3214394653031618,0.7431448254773942,-0.6691306063588582,354,False,False,True,618.0,0.09603340292275574
2025-01-08,55,12,37,41,46,444,11443,3355,76.1,147,0.0,18.29,138,3.6,2.0,5.0,100.0,81.0,70.0,43.0,16.5,4.0,1003.5,1001.0,998.5,0.0,2,0,45,17.666666666666657,32.66666666666666,84.98889300106973,0.6727272727272727,4.808333333333334,-0.23344536385590609,0.9723699203976764,0.9702957262759965,-0.24192189559966779,-0.9483236552061992,-0.31730465640509264,0.7431448254773942,-0.6691306063588582,380,False,True,False,690.0,0.1036036036036036
2025-01-09,57,12,37,65,46,512,6483,3261,75.5,172,0.0,14.0,130,2.5,1.0,5.0,100.0,85.5,61.0,31.0,14.5,2.0,1011.5,1003.4,998.5,3.0,3,0,43,14.166666666666655,35.66666666666666,79.7927405783631,0.6491228070175439,4.908333333333333,-0.2503800040544419,0.9681476403781076,0.7986355100472927,-0.6018150231520484,-0.9510565162951535,-0.30901699437494756,0.7460573750616996,-0.6658816660008342,374,False,True,False,650.0,0.08984375
2025-01-10,60,12,37,54,46,441,18085,3837,76.2,144,0.0,0.0,144,2.8,-2.0,5.0,100.0,85.0,70.0,28.0,14.1,0.0,1021.5,1017.0,1011.5,1.7,4,0,40,9.666666666666671,30.0,64.2042833102432,0.6166666666666667,4.4750000000000005,-0.17364817766693127,0.9848077530122079,0.9659258262890683,-0.25881904510252085,-0.9523957996432783,-0.3048642990280112,0.748955720789002,-0.6626200482157376,391,False,True,False,720.0,0.10430839002267574
