Date,Sleep score,Resting heart rate,Body Battery,Breaths per minute (during sleep),HRV-status,Deep sleep (mins),REM sleep (mins),Restless moments,Duration (mins),Bed-time,Wakeup-time,Steps,Calories,Weight (in kilograms),Max HR,Run (kms),Ride (kms),Minutes intense exercise,AvgTemp_C,MinTemp_C,MaxTemp_C,Sunrise,Sunset,Humidity_Max,Humidity_Avg,Humidity_Min,WindSpeed_Max,WindSpeed_Avg,WindSpeed_Min,Pressure_Max,Pressure_Avg,Pressure_Min,Precipitation_mm
2025-04-27,73,58,51.0,13,34,67,85,46,481,10:43 PM,10:15 AM,26573,4699,81.3,154,0.0,12.5,150,14.1,8.0,20.0,06:17,20:59,100.0,65.9,40.0,11.0,6.8,2.0,1027.5,1025.0,1023.5,0.0
2025-04-26,82,60,54.0,12,38,80,113,45,516,12:22 AM,9:14 AM,11464,3867,81.7,142,0.0,12.12,68,11.8,6.0,17.0,06:19,20:58,100.0,78.6,48.0,17.0,11.7,4.0,1023.5,1023.2,1022.5,2.1
2025-04-25,78,58,63.0,12,36,75,74,37,409,11:14 PM,6:11 AM,11316,4109,82.0,167,8.01,9.68,238,10.4,8.0,13.0,06:21,20:56,93.0,79.4,63.0,17.0,12.6,6.0,1023.5,1022.8,1021.5,1.3
2025-04-24,55,61,31.0,13,35,23,41,50,432,12:05 AM,7:38 AM,7468,2688,83.0,110,0.0,0.0,0,11.1,10.0,13.0,06:23,20:54,100.0,91.9,82.0,24.0,15.8,11.0,1021.5,1018.2,1015.5,2.5
2025-04-23,79,61,57.0,12,35,80,95,64,617,10:37 PM,9:51 AM,9824,3174,83.0,169,5.01,0.0,59,11.9,7.0,15.0,06:25,20:53,100.0,83.7,63.0,15.0,9.0,2.0,1018.5,1015.0,1013.5,5.5
2025-04-22,74,56,52.0,14,34,49,98,61,739,9:00 PM,10:01 AM,7879,3097,83.0,130,0.0,6.07,32,11.6,8.0,15.0,06:27,20:51,100.0,84.5,63.0,22.0,13.4,2.0,1018.5,1016.4,1013.5,0.0
2025-04-21,77,56,77.0,13,32,50,172,52,612,12:32 AM,11:23 AM,5234,2756,83.0,137,0.0,0.0,32,11.4,9.0,14.0,06:29,20:49,100.0,90.4,77.0,15.0,7.2,4.0,1013.5,1009.6,1007.5,1.0
2025-04-20,73,58,51.0,13,34,67,85,46,481,1:21 AM,9:55 AM,9304,4100,83.0,162,0.0,3.64,96,9.7,3.0,15.0,06:31,20:47,93.0,77.5,59.0,19.0,11.0,4.0,1008.5,1007.7,1007.5,2.2
2025-04-19,39,63,26.0,13,31,42,0,38,358,2:10 AM,8:28 AM,45992,6087,84.0,143,0.0,4.01,145,9.5,5.0,14.0,06:33,20:46,93.0,73.0,54.0,20.0,14.2,6.0,1013.5,1010.8,1008.5,0.0
2025-04-18,86,58,55.0,13,32,93,99,54,486,1:33 AM,9:39 AM,7544,3398,84.0,146,0.0,9.48,148,10.4,7.0,16.0,06:36,20:44,93.0,74.1,45.0,19.0,9.4,4.0,1016.5,1014.5,1013.5,0.0
2025-04-17,87,58,51.0,13,32,79,120,45,515,11:46 PM,8:22 AM,13531,3179,84.0,158,6.49,0.0,104,10.5,8.0,13.0,06:38,20:42,87.0,71.8,54.0,15.0,8.8,2.0,1014.5,1012.9,1011.5,0.0
2025-04-16,81,57,62.0,13,32,59,80,51,482,1:06 AM,9:16 AM,8701,4380,83.0,144,0.0,54.09,288,10.8,9.0,12.0,06:40,20:40,100.0,76.7,62.0,20.0,11.4,2.0,1012.5,1007.3,1000.5,0.0
2025-04-15,60,63,41.0,14,32,81,89,42,534,12:59 AM,10:04 AM,6371,2741,83.0,134,0.0,4.01,34,14.5,10.0,21.0,06:42,20:39,100.0,73.5,56.0,33.0,17.2,4.0,1003.5,998.9,996.5,1.5
2025-04-14,44,62,36.0,13,32,80,21,49,391,12:45 AM,7:17 AM,15754,3804,82.5,156,7.98,12.29,138,12.6,9.0,16.0,06:44,20:37,94.0,70.1,48.0,20.0,14.7,7.0,1009.5,1007.5,1003.5,0.0
2025-04-13,60,63,38.0,13,33,56,39,46,443,3:08 AM,10:47 AM,11154,2779,82.0,119,0.0,0.0,24,13.9,11.0,17.0,06:47,20:35,94.0,72.5,48.0,33.0,22.3,17.0,1007.5,1000.2,998.5,0.0
2025-04-12,72,60,46.0,13,34,39,48,43,408,1:08 AM,8:21 AM,11587,3238,82.0,174,3.01,0.0,40,15.0,6.0,23.0,06:49,20:33,100.0,63.0,33.0,26.0,14.8,0.0,1018.5,1010.4,1001.5,3.8
2025-04-11,87,59,56.0,13,34,84,120,56,534,11:04 PM,8:10 AM,9012,3586,82.0,152,0.0,8.12,155,9.9,3.0,16.0,06:51,20:32,100.0,80.1,59.0,22.0,11.7,4.0,1026.5,1022.2,1018.5,0.0
2025-04-10,84,59,52.0,13,34,69,88,40,484,11:57 PM,8:04 AM,12419,4187,82.0,164,5.03,24.25,240,9.1,4.0,13.0,06:53,20:30,93.0,75.3,63.0,26.0,15.7,7.0,1029.5,1027.4,1025.5,0.0
2025-04-09,81,58,52.0,12,34,46,85,33,460,12:06 AM,8:01 AM,9648,3517,81.0,141,0.0,15.18,130,8.0,5.0,11.0,06:56,20:28,87.0,74.8,62.0,26.0,15.7,7.0,1029.5,1027.4,1025.5,0.0
2025-04-08,79,57,45.0,13,34,66,92,42,452,12:06 AM,8:01 AM,9640,3644,82.0,138,0.0,19.45,144,8.7,4.0,14.0,06:58,20:27,87.0,63.8,41.0,20.0,14.5,6.0,1029.5,1027.9,1026.5,0.0
2025-04-07,87,56,58.0,13,37,55,130,48,487,11:47 PM,8:01 AM,16891,3450,82.2,149,5.05,0.0,90,8.0,2.0,13.0,07:00,20:25,81.0,58.5,38.0,22.0,13.2,4.0,1027.5,1026.9,1026.5,0.0
2025-04-06,86,58,61.0,12,35,67,102,47,510,11:52 PM,8:30 AM,11351,2831,82.4,117,0.0,0.0,46,8.3,4.0,12.0,07:03,20:23,71.0,48.3,33.0,26.0,22.0,13.0,1027.5,1025.3,1022.5,0.0
2025-04-05,73,59,48.0,13,35,65,56,65,464,12:33 AM,8:51 AM,11752,2857,82.6,127,0.0,0.0,65,10.4,7.0,15.0,07:05,20:21,100.0,64.8,39.0,31.0,23.0,11.0,1022.5,1020.5,1019.5,0.0
2025-04-04,83,58,50.0,12,34,63,178,40,560,11:55 PM,9:31 AM,13598,3797,82.8,155,5.03,15.85,185,14.1,6.0,20.0,07:07,20:20,81.0,56.0,37.0,26.0,15.9,4.0,1022.5,1020.8,1018.5,0.0
2025-04-03,82,59,49.0,13,32,52,117,46,541,11:53 PM,9:00 AM,10327,3825,82.8,146,0.0,12.21,197,14.5,9.0,20.0,07:09,20:18,71.0,52.1,33.0,30.0,19.7,11.0,1024.5,1022.9,1021.5,0.0
